"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	549	3668536	14.97
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	541	3690677	14.66
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	562	3622587	15.51
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1267	3676918	34.46
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1217	3760960	32.36
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1197	3738115	32.02
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	902	3309016	27.26
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	920	3375929	27.25
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	968	3351976	28.88
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1923	3245656	59.25
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	2017	3366653	59.91
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1950	3389221	57.54
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1467	3209600	45.71
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1466	3149023	46.55
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1421	3072380	46.25
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	3315	3097560	107.02
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	3271	3089855	105.86
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	3078	3043767	101.12
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	2333	3166942	73.67
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	2465	3203230	76.95
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	2217	3144938	70.49
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	5691	3065187	185.67
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	5534	3174646	174.32
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	5071	3142865	161.35
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	4007	3221381	124.39
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	3854	3183572	121.06
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	3641	3056343	119.13
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	9064	3047599	297.41
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	8719	3090909	282.09
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	8150	2993496	272.26
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	6135	3055352	200.80
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	6046	3063056	197.38
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	5963	2995128	199.09
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	12661	2775459	456.18
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	12479	2868245	435.07
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	12031	2825757	425.76
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	7843	2603164	301.29
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	7980	2645941	301.59
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	7686	2636539	291.52
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	14304	2225331	642.78
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	14237	2325157	612.30
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	14337	2328385	615.75
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	10374	2120995	489.11
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	10294	2192249	469.56
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	10490	2166229	484.25
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	15025	1734093	866.45
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	15229	1819357	837.05
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	15543	1785664	870.43
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	12255	1465966	835.97
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	12217	1451779	841.52
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	12794	1564538	817.75
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	14876	1117838	1330.78
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	14829	1124807	1318.36
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	15660	1216726	1287.06
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	15805	1011664	1562.28
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	15232	981325	1552.19
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	15659	1027967	1523.30
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	15630	703909	2220.46
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	14987	688798	2175.82
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	15503	711190	2179.87
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	20548	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	19099	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	19104	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	16231	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	15279	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	15271	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	21665	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	20041	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	19909	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	13085	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	12479	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	12604	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	13013	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	12185	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	12456	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	5663	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	5294	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	5300	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	3556	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	3391	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	3504	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	967	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	909	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1032	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	126	2600606	4.85
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	139	2577636	5.39
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	115	2541587	4.52
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	234	2707121	8.64
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	241	2649482	9.10
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	237	2652297	8.94
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	255	2703036	9.43
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	241	2768883	8.70
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	244	2782611	8.77
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	426	2719525	15.66
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	465	2774409	16.76
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	450	2819193	15.96
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	419	2799452	14.97
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	424	2864299	14.80
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	383	2853976	13.42
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	773	2753521	28.07
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	874	2862470	30.53
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	800	2881544	27.76
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	658	2702434	24.35
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	655	2806123	23.34
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	696	2838092	24.52
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1353	2636280	51.32
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1496	2786623	53.69
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1403	2856271	49.12
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1037	2713504	38.22
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1046	2672067	39.15
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	935	2634308	35.49
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	2349	2629663	89.33
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	2320	2642188	87.81
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	2216	2633265	84.15
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1728	2820080	61.27
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1771	2864527	61.83
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1688	2822521	59.80
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	4039	2711816	148.94
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	4064	2830534	143.58
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	3872	2823540	137.13
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	2860	2959791	96.63
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	3031	2945125	102.92
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	2871	2853638	100.61
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	6609	2810459	235.16
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	6540	2863453	228.40
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	6131	2792017	219.59
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	4431	2776234	159.60
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	4484	2827225	158.60
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	4624	2811593	164.46
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	9312	2581885	360.67
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	9537	2701633	353.01
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	9253	2696131	343.20
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	5868	2355408	249.13
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	6427	2415276	266.10
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	6319	2448073	258.12
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	10807	2081196	519.27
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	11210	2193520	511.05
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	11432	2230071	512.63
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	8317	1962198	423.86
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	8784	2039318	430.73
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	8782	2025588	433.55
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	12545	1670571	750.94
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	13060	1760248	741.94
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	13211	1734115	761.83
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	10549	1365922	772.30
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	11194	1361179	822.38
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	11905	1498639	794.39
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	13668	1098079	1244.72
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	13895	1108944	1252.99
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	15030	1220858	1231.10
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	13565	902087	1503.74
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	14115	885879	1593.33
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	14750	951799	1549.70
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	14395	659723	2181.98
