"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"ICD Chapter"	"ICD Chapter Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2010"	"2010"	4258	6681998	63.72
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2011"	"2011"	4132	6676495	61.89
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2012"	"2012"	3988	6657135	59.91
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2013"	"2013"	4021	6642159	60.54
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2014"	"2014"	3937	6663135	59.09
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2015"	"2015"	3994	6678385	59.80
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2016"	"2016"	4023	6645507	60.54
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2017"	"2017"	3821	6626942	57.66
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	3599	6530771	55.11
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	3574	6439202	55.50
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2020 "	"2020"	3800	6376542	59.59
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"			43147	72618271	59.42
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2010"	"2010"	9125	6415005	142.24
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2011"	"2011"	9017	6438248	140.05
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2012"	"2012"	8637	6431754	134.29
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2013"	"2013"	8773	6433968	136.35
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2014"	"2014"	8534	6458727	132.13
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2015"	"2015"	8306	6479160	128.20
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2016"	"2016"	8473	6446676	131.43
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2017"	"2017"	8094	6427477	125.93
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	8171	6330208	129.08
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	7925	6229765	127.21
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2020 "	"2020"	9006	6162747	146.14
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"			94061	70253735	133.89
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"					137208	142872006	96.04
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2010"	"2010"	7888	5307644	148.62
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2011"	"2011"	8286	5563079	148.95
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2012"	"2012"	8270	5678990	145.62
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2013"	"2013"	8388	5812418	144.31
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2014"	"2014"	8610	5956034	144.56
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2015"	"2015"	8916	6091505	146.37
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2016"	"2016"	9114	6166315	147.80
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2017"	"2017"	9340	6257369	149.26
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	9273	6282686	147.60
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	9079	6295295	144.22
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2020 "	"2020"	10142	6276733	161.58
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"			97306	65688068	148.13
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2010"	"2010"	16015	4785805	334.64
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2011"	"2011"	16578	5020835	330.18
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2012"	"2012"	16969	5131988	330.65
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2013"	"2013"	17531	5271952	332.53
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2014"	"2014"	17693	5413925	326.81
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2015"	"2015"	18267	5557667	328.68
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2016"	"2016"	18866	5643207	334.31
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2017"	"2017"	19149	5738761	333.68
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	19443	5783169	336.20
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	19407	5818606	333.53
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2020 "	"2020"	21725	5823058	373.09
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"			201643	59988973	336.13
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"					298949	125677041	237.87
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2010"	"2010"	12223	3118733	391.92
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2011"	"2011"	12165	3223649	377.37
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2012"	"2012"	12563	3423973	366.91
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2013"	"2013"	13058	3602946	362.43
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2014"	"2014"	13373	3781570	353.64
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2015"	"2015"	14378	3960106	363.07
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2016"	"2016"	14771	4118262	358.67
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2017"	"2017"	15461	4312187	358.54
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	15667	4432678	353.44
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	16043	4579765	350.30
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2020 "	"2020"	18217	4724159	385.61
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"			157919	43278028	364.89
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2010"	"2010"	18050	2558478	705.50
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2011"	"2011"	18298	2660114	687.87
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2012"	"2012"	19033	2842191	669.66
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2013"	"2013"	20190	3004143	672.07
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2014"	"2014"	21043	3155396	666.89
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2015"	"2015"	22018	3308577	665.48
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2016"	"2016"	23367	3440849	679.11
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2017"	"2017"	24105	3607162	668.25
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	25160	3709773	678.21
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	25983	3834404	677.63
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2020 "	"2020"	29329	3959424	740.74
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"			246576	36080511	683.40
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"					404495	79358539	509.71
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2010"	"2010"	27175	2062425	1317.62
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2011"	"2011"	26624	2064390	1289.68
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2012"	"2012"	25428	2065026	1231.36
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2013"	"2013"	25390	2079225	1221.13
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2014"	"2014"	24728	2104295	1175.12
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2015"	"2015"	25308	2131541	1187.31
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2016"	"2016"	25097	2167466	1157.90
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2017"	"2017"	25523	2249730	1134.49
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	26204	2331784	1123.77
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	25931	2412375	1074.92
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2020 "	"2020"	28060	2477630	1132.53
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"			285468	24145887	1182.26
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2010"	"2010"	26439	1414634	1868.96
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2011"	"2011"	25820	1434356	1800.11
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2012"	"2012"	25718	1449648	1774.09
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2013"	"2013"	25854	1472194	1756.15
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2014"	"2014"	25564	1500687	1703.49
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2015"	"2015"	26476	1528601	1732.04
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2016"	"2016"	26240	1559056	1683.07
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2017"	"2017"	26931	1630570	1651.63
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	27761	1700323	1632.69
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	28467	1766476	1611.51
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2020 "	"2020"	30506	1821747	1674.55
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"			295776	17278292	1711.84
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"					581244	41424179	1403.15
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2010"	"2010"	54300	1025082	5297.14
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2011"	"2011"	54030	1068419	5057.00
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2012"	"2012"	54382	1094464	4968.82
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2013"	"2013"	54865	1115963	4916.38
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2014"	"2014"	54225	1132857	4786.57
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2015"	"2015"	56741	1149951	4934.21
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2016"	"2016"	56013	1164249	4811.08
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2017"	"2017"	56971	1182345	4818.48
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2018"	"2018"	56835	1188580	4781.76
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2019"	"2019"	55956	1191319	4696.98
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2020 "	"2020"	58782	1194733	4920.10
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"			613100	12507962	4901.68
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2010"	"2010"	28925	490827	5893.12
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2011"	"2011"	29265	519915	5628.80
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2012"	"2012"	30087	539134	5580.62
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2013"	"2013"	31146	558432	5577.40
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2014"	"2014"	31212	577126	5408.18
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2015"	"2015"	33041	594900	5554.04
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2016"	"2016"	33098	608974	5435.04
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2017"	"2017"	34276	629103	5448.39
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2018"	"2018"	34179	639078	5348.17
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2019"	"2019"	34330	651063	5272.92
